Delivery Date,Delivery Hour,Settlement Point Name,Settlement Point Price
10/16/2020,2,LZ_SOUTH,18.6925
10/9/2020,19,LZ_NORTH,137.77
10/11/2020,22,LZ_SOUTH,17.58
10/2/2020,17,LZ_SOUTH,22.6325
10/6/2020,23,LZ_NORTH,16.15
10/18/2020,12,LZ_NORTH,21.53
10/14/2020,22,LZ_HOUSTON,18.165
10/10/2020,7,LZ_SOUTH,10.33
10/12/2020,22,LZ_HOUSTON,20.9975
10/18/2020,22,LZ_SOUTH,23.8625
10/15/2020,20,LZ_WEST,116.0225
10/4/2020,15,LZ_WEST,80.335
10/18/2020,20,LZ_WEST,25.97
10/22/2020,21,LZ_HOUSTON,26.8125
10/16/2020,9,LZ_HOUSTON,22.755
10/20/2020,18,LZ_NORTH,26.6925
10/8/2020,12,LZ_SOUTH,20.1325
10/25/2020,5,LZ_HOUSTON,14.63
10/16/2020,7,LZ_WEST,26.3525
10/25/2020,18,LZ_SOUTH,15.2025
10/21/2020,16,LZ_NORTH,33.01
10/16/2020,6,LZ_NORTH,15.99
10/15/2020,18,LZ_SOUTH,22.11
10/20/2020,23,LZ_WEST,0.665
10/30/2020,16,LZ_NORTH,23.12
10/4/2020,3,LZ_HOUSTON,13.7025
10/2/2020,23,LZ_NORTH,7.83
10/14/2020,20,LZ_SOUTH,18.6725
10/29/2020,7,LZ_HOUSTON,20.475
10/17/2020,4,LZ_NORTH,26.7
10/29/2020,19,LZ_SOUTH,27.03
10/1/2020,12,LZ_WEST,5.94
10/23/2020,18,LZ_NORTH,14.5175
10/1/2020,12,LZ_NORTH,11.2925
10/31/2020,12,LZ_SOUTH,19.535
10/28/2020,3,LZ_WEST,33.65
10/21/2020,18,LZ_SOUTH,36.285
10/21/2020,16,LZ_HOUSTON,49.6375
10/4/2020,8,LZ_HOUSTON,11.7525
10/23/2020,3,LZ_NORTH,20.415
10/5/2020,17,LZ_SOUTH,498.36
10/9/2020,7,LZ_SOUTH,16.6675
10/27/2020,22,LZ_HOUSTON,40.22
10/27/2020,3,LZ_WEST,48.63
10/1/2020,7,LZ_HOUSTON,15.4875
10/6/2020,4,LZ_SOUTH,13.6525
10/23/2020,6,LZ_HOUSTON,22.8825
10/18/2020,22,LZ_NORTH,24.0725
10/23/2020,18,LZ_SOUTH,22.3725
10/17/2020,14,LZ_WEST,-0.7875
10/16/2020,22,LZ_WEST,14.025
10/5/2020,8,LZ_SOUTH,17.46
10/10/2020,22,LZ_HOUSTON,16.4725
10/17/2020,11,LZ_HOUSTON,13.08
10/21/2020,6,LZ_WEST,7.995
10/2/2020,12,LZ_NORTH,12.4375
10/17/2020,21,LZ_WEST,-1.1275
10/28/2020,21,LZ_NORTH,30.58
10/20/2020,2,LZ_WEST,16.3675
10/16/2020,14,LZ_SOUTH,18.5275
10/16/2020,10,LZ_SOUTH,21.1475
10/30/2020,24,LZ_NORTH,30.1675
10/24/2020,23,LZ_NORTH,17.4875
10/12/2020,23,LZ_WEST,19.78
10/29/2020,8,LZ_WEST,23.4775
10/10/2020,15,LZ_WEST,54.505
10/29/2020,4,LZ_SOUTH,17.2625
10/9/2020,15,LZ_SOUTH,30.7975
10/16/2020,13,LZ_WEST,17.9675
10/26/2020,13,LZ_NORTH,350.08
10/14/2020,20,LZ_WEST,181.9275
10/12/2020,15,LZ_SOUTH,27.9325
10/14/2020,12,LZ_WEST,3.4125
10/13/2020,4,LZ_HOUSTON,15.1225
10/6/2020,3,LZ_SOUTH,13.535
10/20/2020,24,LZ_WEST,-1.3225
10/31/2020,7,LZ_NORTH,63.355
10/15/2020,6,LZ_WEST,-0.77
10/26/2020,24,LZ_HOUSTON,57.59
10/4/2020,22,LZ_HOUSTON,16.3275
10/25/2020,3,LZ_SOUTH,12.6075
10/8/2020,9,LZ_SOUTH,16.63
10/8/2020,10,LZ_HOUSTON,17.5175
10/8/2020,1,LZ_HOUSTON,15.495
10/31/2020,13,LZ_NORTH,45.93
10/28/2020,13,LZ_WEST,18.2375
10/31/2020,21,LZ_NORTH,27.15
10/5/2020,11,LZ_SOUTH,20.7725
10/25/2020,17,LZ_NORTH,15.5075
10/7/2020,20,LZ_SOUTH,21.01
10/25/2020,20,LZ_SOUTH,15.61
10/29/2020,17,LZ_HOUSTON,17.425
10/3/2020,15,LZ_NORTH,17.2075
10/3/2020,21,LZ_NORTH,15.255
10/4/2020,23,LZ_NORTH,15.8975
10/29/2020,8,LZ_SOUTH,21.7175
10/21/2020,9,LZ_NORTH,20.405
10/2/2020,14,LZ_HOUSTON,16.8175
10/28/2020,10,LZ_NORTH,36.245
10/27/2020,4,LZ_SOUTH,29.095
10/11/2020,6,LZ_WEST,20.425
10/27/2020,16,LZ_WEST,54.13
10/16/2020,16,LZ_SOUTH,19.17
10/3/2020,10,LZ_SOUTH,12.8925
10/21/2020,3,LZ_WEST,-1.8125
10/25/2020,18,LZ_HOUSTON,16.96
10/6/2020,13,LZ_HOUSTON,19.02
10/2/2020,20,LZ_SOUTH,16.75
10/7/2020,24,LZ_HOUSTON,16.6175
10/2/2020,5,LZ_SOUTH,11.6475
10/14/2020,7,LZ_NORTH,11.46
10/18/2020,5,LZ_NORTH,15.5375
10/14/2020,22,LZ_WEST,9.3675
10/9/2020,18,LZ_HOUSTON,244.0425
10/9/2020,13,LZ_SOUTH,25.2475
10/14/2020,23,LZ_SOUTH,22.3075
10/29/2020,18,LZ_WEST,19.3375
10/28/2020,24,LZ_HOUSTON,18.345
10/10/2020,13,LZ_WEST,22.9225
